date,ratingScore,reviewTitle,reviewDescription,texto_completo,texto_limpo,sentimento,palavra_chave,variant,country
11-08-2024,4,No charger,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏","No charger Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏",no charger every thing is good about iphones theres nothing compared to its speed and ios but i was disappointed because theres no charger for it even though indian judiciary told them to provide  still they havent made any progress regarding charger why should we spend 62k and more than that for iphones because of its brand and acessories comfort size and features right if thats not there whats point of buying an iphonethank you,negativo,"charger, every, thing, good, iphones, theres, nothing, compared, speed, ios, disappointed, theres, charger, even, though, indian, judiciary, told, provide, still, havent, made, progress, regarding, charger, spend, iphones, brand, acessories, comfort, size, features, right, thats, whats, point, buying, iphonethank",Colour: MidnightSize: 256 GB,India
16-08-2024,5,iPhone 13 256GB,"It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much 😍❤️","iPhone 13 256GB It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much 😍❤️",iphone 13 256gb it look so fabulous i am android user switched to apple performance wise iphone is more better than android due to a15 bionic chip i feel pleasant while using iphone in hand i like it very much ,positivo,"iphone, look, fabulous, android, user, switched, apple, performance, wise, iphone, better, android, due, bionic, chip, feel, pleasant, using, iphone, hand, like, much",Colour: MidnightSize: 256 GB,India
14-05-2024,4,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !","Flip camera option nill I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",flip camera option nill i tried to flip camera while recording but no facility is added here you have to pause first then you can flip from back to front or vice versa it means you cant continue it very awkward position iphone software should be upgraded so that we can make it go its very essential for a content creator i purchased gimbal dji om se but it could not provided that its very essential for a vlogger but i was fed up after finding the basic requirements wasnt built in these products ,negativo,"flip, camera, option, nill, tried, flip, camera, recording, facility, added, pause, first, flip, back, front, vice, versa, means, cant, continue, awkward, position, iphone, software, upgraded, make, go, essential, content, creator, purchased, gimbal, dji, om, se, could, provided, essential, vlogger, fed, finding, basic, requirements, wasnt, built, products",Colour: MidnightSize: 256 GB,India
24-06-2024,5,Product,100% genuine,Product 100% genuine,product 100 genuine,neutro,"product, genuine",Colour: MidnightSize: 256 GB,India
18-05-2024,5,Good product,Happy to get the iPhone 13 in Amazon offer,Good product Happy to get the iPhone 13 in Amazon offer,good product happy to get the iphone 13 in amazon offer,positivo,"good, product, happy, get, iphone, amazon, offer",Colour: MidnightSize: 256 GB,India
14-05-2024,5,Too smooth and effective battery life,5 star 👍,Too smooth and effective battery life 5 star 👍,too smooth and effective battery life 5 star ,positivo,"smooth, effective, battery, life, star",Colour: MidnightSize: 256 GB,India
28-01-2024,5,Apple 13 256 GB,"Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something....","Apple 13 256 GB Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something....",apple 13 256 gb great product nothing to say as the name apple is own identity of this product all is well recommendation is 100  just grab this product else you missed something,positivo,"apple, gb, great, product, nothing, say, name, apple, identity, product, well, recommendation, grab, product, else, missed, something",Colour: MidnightSize: 256 GB,India
01-03-2024,5,Good,Good product 😀💯,Good Good product 😀💯,good good product ,positivo,"good, good, product",Colour: MidnightSize: 256 GB,India
14-11-2023,4,Good,Nice product,Good Nice product,good nice product,positivo,"good, nice, product",Colour: MidnightSize: 256 GB,India
03-02-2024,5,Excellent,Excellent product,Excellent Excellent product,excellent excellent product,positivo,"excellent, excellent, product",Colour: MidnightSize: 256 GB,India
